side,row,col,board_no,socket,label,shift
back,6,19,83,10,083-10,0.5
back,7,21,83,11,083-11,0.5
back,8,20,83,12,083-12,0.5
back,8,21,83,13,083-13,0.5
back,9,21,83,14,083-14,0.5
back,9,19,83,15,083-15,0.5
back,10,21,83,16,083-16,0.5
back,11,19,83,17,083-17,0.5
back,11,22,83,18,083-18,0.5
back,12,19,83,19,083-19,0.5
back,13,19,83,20,083-20,0.5
back,13,20,83,21,083-21,0.5
back,14,20,83,22,083-22,0.5
back,15,20,83,23,083-23,0.5
back,16,19,83,24,083-24,0.5
back,17,19,83,25,083-25,0.5
back,17,20,83,26,083-26,0.5
back,14,21,83,27,083-27,0.5
back,17,21,83,28,083-28,0.5
back,16,21,83,29,083-29,0.5
back,14,22,83,30,083-30,0.5
back,16,22,83,31,083-31,0.5
back,15,22,83,32,083-32,0.5
back,16,23,83,33,083-33,0.5
back,14,24,83,34,083-34,0.5
back,15,24,83,35,083-35,0.5
back,15,25,83,36,083-36,0.5
back,14,26,83,37,083-37,0.5
back,13,27,83,38,083-38,0.5
back,13,25,83,39,083-39,0.5
back,12,24,83,40,083-40,0.5
back,12,27,83,41,083-41,0.5
back,12,23,83,42,083-42,0.5
back,11,24,83,43,083-43,0.5
back,11,26,83,44,083-44,0.5
back,10,25,83,45,083-45,0.5
back,10,24,83,46,083-46,0.5
back,9,22,83,50,083-50,0.5
back,8,22,83,52,083-52,0.5
back,8,24,83,53,083-53,0.5
back,7,23,83,54,083-54,0.5
back,7,24,83,55,083-55,0.5
back,5,22,83,56,083-56,0.5
back,5,23,83,57,083-57,0.5
back,3,22,83,58,083-58,0.5
back,2,22,83,59,083-59,0.5
back,1,22,83,60,083-60,0.5
front,3,29,84,1,084-01,0.5
front,0,31,84,2,084-02,0.5
front,1,32,84,3,084-03,0
front,0,32,84,4,084-04,0.5
front,0,34,84,5,084-05,0.5
front,0,35,84,6,084-06,0.5
front,2,32,84,7,084-07,0.5
front,2,33,84,8,084-08,0.5
front,3,31,84,9,084-09,0.5
front,3,32,84,10,084-10,0.5
front,4,31,84,11,084-11,0
front,5,29,84,12,084-12,0.5
front,4,33,84,13,084-13,0
front,5,31,84,14,084-14,0.5
front,6,29,84,15,084-15,0
front,6,31,84,16,084-16,0
front,7,28,84,17,084-17,0.5
front,7,30,84,18,084-18,0.5
front,7,31,84,19,084-19,0.5
front,8,31,84,20,084-20,0
front,9,29,84,21,084-21,0.5
front,9,30,84,22,084-22,0.5
front,10,28,84,23,084-23,0.5
front,10,29,84,24,084-24,0.5
front,11,28,84,25,084-25,0
front,14,27,84,26,084-26,0.5
front,12,27,84,27,084-27,0.5
front,11,27,84,28,084-28,0
front,12,26,84,29,084-29,0.5
front,13,26,84,30,084-30,0
front,14,25,84,31,084-31,0.5
front,15,25,84,32,084-32,0
front,13,25,84,33,084-33,0
front,15,24,84,34,084-34,0
front,16,24,84,35,084-35,0
front,12,24,84,36,084-36,0.5
front,11,24,84,37,084-37,0
front,10,25,84,39,084-39,0.5
front,9,24,84,42,084-42,0.5
front,9,26,84,43,084-43,0.5
front,8,25,84,45,084-45,0
front,7,27,84,46,084-46,0.5
front,7,26,84,47,084-47,0.5
front,6,28,84,48,084-48,0
front,5,28,84,49,084-49,0.5
front,5,27,84,50,084-50,0.5
front,5,26,84,51,084-51,0.5
front,4,26,84,52,084-52,0
front,3,28,84,53,084-53,0.5
front,3,27,84,54,084-54,0.5
front,2,29,84,55,084-55,0.5
front,2,27,84,56,084-56,0.5
front,1,30,84,57,084-57,0
front,1,28,84,58,084-58,0
front,0,27,84,59,084-59,0.5
front,0,29,84,60,084-60,0.5
front,2,30,85,1,085-01,0.5
front,1,31,85,2,085-02,0
front,2,31,85,3,085-03,0.5
front,0,33,85,4,085-04,0.5
front,1,33,85,5,085-05,0
front,1,34,85,6,085-06,0
front,1,35,85,7,085-07,0
front,3,30,85,8,085-08,0.5
front,2,34,85,9,085-09,0.5
front,4,30,85,10,085-10,0
front,3,33,85,11,085-11,0.5
front,4,32,85,12,085-12,0
front,5,30,85,13,085-13,0.5
front,6,30,85,14,085-14,0
front,5,32,85,15,085-15,0.5
front,7,29,85,16,085-16,0.5
front,6,32,85,17,085-17,0
front,8,29,85,18,085-18,0
front,8,30,85,19,085-19,0
front,8,28,85,20,085-20,0
front,9,28,85,21,085-21,0.5
front,9,27,85,22,085-22,0.5
front,10,27,85,23,085-23,0.5
front,11,29,85,24,085-24,0
front,12,28,85,25,085-25,0.5
front,13,28,85,26,085-26,0
front,13,27,85,27,085-27,0
front,15,26,85,28,085-28,0
front,14,26,85,29,085-29,0.5
front,10,26,85,30,085-30,0.5
front,11,26,85,31,085-31,0
front,12,25,85,32,085-32,0.5
front,16,25,85,33,085-33,0
front,14,24,85,34,085-34,0.5
front,17,23,85,35,085-35,0.5
front,13,24,85,36,085-36,0
front,11,25,85,37,085-37,0
front,10,24,85,39,085-39,0.5
front,9,25,85,43,085-43,0.5
front,8,27,85,45,085-45,0
front,8,26,85,46,085-46,0
front,7,25,85,47,085-47,0.5
front,6,27,85,48,085-48,0
front,6,26,85,49,085-49,0
front,5,25,85,50,085-50,0.5
front,4,29,85,51,085-51,0
front,4,28,85,52,085-52,0
front,4,27,85,53,085-53,0
front,3,26,85,54,085-54,0.5
front,2,26,85,55,085-55,0.5
front,2,28,85,56,085-56,0.5
front,1,27,85,57,085-57,0
front,1,29,85,58,085-58,0
front,0,30,85,59,085-59,0.5
front,0,28,85,60,085-60,0.5
front,1,7,86,1,086-01,0
front,1,8,86,2,086-02,0
front,0,8,86,3,086-03,0.5
front,0,9,86,4,086-04,0.5
front,0,11,86,5,086-05,0.5
front,1,11,86,6,086-06,0
front,2,9,86,7,086-07,0.5
front,2,11,86,8,086-08,0.5
front,3,11,86,9,086-09,0.5
front,4,11,86,10,086-10,0
front,4,12,86,11,086-11,0
front,4,9,86,12,086-12,0
front,5,12,86,13,086-13,0.5
front,5,9,86,14,086-14,0.5
front,6,10,86,15,086-15,0
front,7,11,86,16,086-16,0.5
front,8,12,86,17,086-17,0
front,8,11,86,18,086-18,0
front,9,11,86,19,086-19,0.5
front,9,13,86,20,086-20,0.5
front,10,13,86,23,086-23,0.5
front,11,14,86,24,086-24,0
front,12,13,86,25,086-25,0.5
front,17,14,86,26,086-26,0.5
front,11,13,86,27,086-27,0
front,14,13,86,28,086-28,0.5
front,12,12,86,29,086-29,0.5
front,14,12,86,30,086-30,0.5
front,15,13,86,31,086-31,0
front,12,11,86,32,086-32,0.5
front,11,11,86,33,086-33,0
front,15,12,86,34,086-34,0
front,14,10,86,35,086-35,0.5
front,13,10,86,36,086-36,0
front,11,10,86,37,086-37,0
front,10,9,86,38,086-38,0.5
front,10,10,86,39,086-39,0.5
front,9,7,86,40,086-40,0.5
front,9,10,86,41,086-41,0.5
front,8,7,86,42,086-42,0
front,8,10,86,43,086-43,0
front,7,6,86,44,086-44,0.5
front,6,6,86,45,086-45,0
front,7,8,86,46,086-46,0.5
front,5,5,86,47,086-47,0.5
front,6,8,86,48,086-48,0
front,4,5,86,49,086-49,0
front,5,8,86,50,086-50,0.5
front,4,6,86,51,086-51,0
front,4,8,86,52,086-52,0
front,2,3,86,53,086-53,0.5
front,2,4,86,54,086-54,0.5
front,1,3,86,55,086-55,0
front,2,7,86,56,086-56,0.5
front,2,6,86,57,086-57,0.5
front,1,5,86,58,086-58,0
front,0,3,86,59,086-59,0.5
front,0,5,86,60,086-60,0.5
front,0,6,87,1,087-01,0.5
front,2,8,87,2,087-02,0.5
front,0,7,87,3,087-03,0.5
front,1,9,87,4,087-04,0
front,0,10,87,5,087-05,0.5
front,1,10,87,6,087-06,0
front,2,10,87,7,087-07,0.5
front,3,10,87,8,087-08,0.5
front,3,9,87,9,087-09,0.5
front,3,8,87,10,087-10,0.5
front,4,10,87,11,087-11,0
front,5,11,87,12,087-12,0.5
front,5,10,87,13,087-13,0.5
front,6,12,87,14,087-14,0
front,6,11,87,15,087-15,0
front,7,12,87,16,087-16,0.5
front,7,10,87,17,087-17,0.5
front,8,13,87,18,087-18,0
front,9,12,87,20,087-20,0.5
front,10,12,87,23,087-23,0.5
front,13,14,87,25,087-25,0
front,16,14,87,26,087-26,0
front,15,14,87,27,087-27,0
front,13,13,87,28,087-28,0
front,16,13,87,29,087-29,0
front,11,12,87,30,087-30,0
front,10,11,87,31,087-31,0.5
front,13,12,87,32,087-32,0
front,14,11,87,33,087-33,0.5
front,13,11,87,34,087-34,0
front,12,10,87,35,087-35,0.5
front,12,9,87,36,087-36,0.5
front,11,9,87,37,087-37,0
front,10,8,87,38,087-38,0.5
front,9,8,87,41,087-41,0.5
front,9,9,87,42,087-42,0.5
front,8,8,87,43,087-43,0
front,8,9,87,44,087-44,0
front,7,7,87,45,087-45,0.5
front,7,9,87,46,087-46,0.5
front,6,7,87,47,087-47,0
front,6,9,87,48,087-48,0
front,5,6,87,49,087-49,0.5
front,5,7,87,50,087-50,0.5
front,3,4,87,51,087-51,0.5
front,4,7,87,52,087-52,0
front,3,5,87,53,087-53,0.5
front,3,6,87,54,087-54,0.5
front,3,7,87,55,087-55,0.5
front,2,5,87,56,087-56,0.5
front,1,4,87,57,087-57,0
front,0,2,87,58,087-58,0.5
front,1,6,87,59,087-59,0
front,0,4,87,60,087-60,0.5
front,1,22,88,1,088-01,0
front,2,22,88,2,088-02,0.5
front,0,23,88,3,088-03,0.5
front,1,24,88,4,088-04,0
front,0,24,88,5,088-05,0.5
front,1,25,88,6,088-06,0
front,1,26,88,7,088-07,0
front,2,25,88,8,088-08,0.5
front,3,24,88,9,088-09,0.5
front,3,25,88,10,088-10,0.5
front,5,23,88,11,088-11,0.5
front,5,24,88,12,088-12,0.5
front,6,24,88,13,088-13,0
front,6,22,88,14,088-14,0
front,6,25,88,15,088-15,0
front,7,24,88,16,088-16,0.5
front,8,24,88,17,088-17,0
front,9,23,88,19,088-19,0.5
front,10,23,88,22,088-22,0.5
front,11,23,88,24,088-24,0
front,14,23,88,25,088-25,0.5
front,16,23,88,26,088-26,0
front,17,22,88,27,088-27,0.5
front,12,22,88,28,088-28,0.5
front,11,22,88,29,088-29,0
front,17,21,88,30,088-30,0.5
front,14,21,88,31,088-31,0.5
front,15,21,88,32,088-32,0
front,16,21,88,33,088-33,0
front,12,20,88,34,088-34,0.5
front,16,20,88,35,088-35,0
front,16,19,88,36,088-36,0
front,14,19,88,37,088-37,0.5
