side,row,col,board_no,socket,label,shift
back,10,7,9,6,009-06,0
back,11,8,9,7,009-07,0.5
back,12,9,9,8,009-08,0.5
back,12,7,9,9,009-09,0.5
back,13,11,9,10,009-10,0
back,13,12,9,11,009-11,0
back,13,8,9,12,009-12,0
back,14,11,9,13,009-13,0.5
back,14,12,9,14,009-14,0.5
back,14,8,9,15,009-15,0.5
back,15,11,9,16,009-16,0.5
back,15,9,9,17,009-17,0.5
back,15,8,9,18,009-18,0.5
back,16,12,9,19,009-19,0
back,16,13,9,20,009-20,0
back,17,9,9,21,009-21,0
back,17,12,9,22,009-22,0
back,18,10,9,23,009-23,0.5
back,18,11,9,24,009-24,0.5
back,19,11,9,25,009-25,0
back,20,11,9,26,009-26,0
back,19,12,9,27,009-27,0
back,18,12,9,28,009-28,0.5
back,21,12,9,29,009-29,0.5
back,20,13,9,30,009-30,0
back,18,13,9,31,009-31,0.5
back,19,14,9,32,009-32,0
back,17,14,9,33,009-33,0
back,18,14,9,34,009-34,0.5
back,21,15,9,35,009-35,0.5
back,18,15,9,36,009-36,0.5
back,17,16,9,37,009-37,0
back,17,15,9,38,009-38,0
back,16,15,9,41,009-41,0
back,16,14,9,42,009-42,0
back,15,14,9,45,009-45,0.5
back,15,13,9,46,009-46,0.5
back,14,15,9,48,009-48,0.5
back,14,13,9,49,009-49,0.5
back,13,16,9,51,009-51,0
back,13,15,9,52,009-52,0
back,13,13,9,53,009-53,0
back,12,15,9,55,009-55,0.5
back,12,13,9,56,009-56,0.5
back,12,12,9,57,009-57,0.5
back,11,14,9,59,009-59,0.5
back,11,13,9,60,009-60,0.5
back,11,12,10,1,010-01,0.5
back,10,11,10,2,010-02,0
back,11,10,10,3,010-03,0.5
back,10,9,10,4,010-04,0
back,9,6,10,5,010-05,0.5
back,11,9,10,6,010-06,0.5
back,12,10,10,7,010-07,0.5
back,11,7,10,8,010-08,0.5
back,12,8,10,9,010-09,0.5
back,13,10,10,10,010-10,0
back,13,9,10,11,010-11,0
back,14,10,10,13,010-13,0.5
back,14,9,10,14,010-14,0.5
back,15,10,10,16,010-16,0.5
back,15,12,10,17,010-17,0.5
back,16,10,10,18,010-18,0
back,16,11,10,19,010-19,0
back,16,9,10,20,010-20,0
back,17,10,10,21,010-21,0
back,17,11,10,22,010-22,0
back,18,9,10,23,010-23,0.5
back,19,10,10,24,010-24,0
back,20,10,10,25,010-25,0
back,21,10,10,26,010-26,0.5
back,21,11,10,27,010-27,0.5
back,20,12,10,28,010-28,0
back,19,13,10,29,010-29,0
back,21,13,10,30,010-30,0.5
back,17,13,10,31,010-31,0
back,20,14,10,32,010-32,0
back,21,14,10,33,010-33,0.5
back,20,15,10,34,010-34,0
back,19,15,10,35,010-35,0
back,19,16,10,36,010-36,0
back,15,15,10,45,010-45,0.5
back,14,14,10,49,010-49,0.5
back,13,14,10,53,010-53,0
back,12,14,10,56,010-56,0.5
back,11,15,10,59,010-59,0.5
back,10,15,10,60,010-60,0
back,11,19,11,1,011-01,0.5
back,12,19,11,2,011-02,0.5
back,10,19,11,3,011-03,0
back,10,18,11,4,011-04,0
back,10,16,11,5,011-05,0
back,11,16,11,6,011-06,0.5
back,12,17,11,8,011-08,0.5
back,12,16,11,9,011-09,0.5
back,13,18,11,11,011-11,0
back,13,17,11,12,011-12,0
back,14,17,11,14,011-14,0.5
back,14,16,11,15,011-15,0.5
back,15,17,11,17,011-17,0.5
back,15,16,11,18,011-18,0.5
back,16,18,11,20,011-20,0
back,16,16,11,21,011-21,0
back,17,17,11,24,011-24,0
back,18,16,11,25,011-25,0.5
back,21,16,11,26,011-26,0.5
back,18,17,11,27,011-27,0.5
back,17,18,11,28,011-28,0
back,19,18,11,29,011-29,0
back,18,18,11,30,011-30,0.5
back,17,19,11,31,011-31,0
back,20,19,11,32,011-32,0
back,18,19,11,33,011-33,0.5
back,20,20,11,34,011-34,0
back,20,21,11,35,011-35,0
back,21,21,11,36,011-36,0.5
back,18,20,11,37,011-37,0.5
back,18,21,11,38,011-38,0.5
back,17,20,11,39,011-39,0
back,17,22,11,40,011-40,0
back,16,23,11,41,011-41,0
back,16,19,11,42,011-42,0
back,16,20,11,43,011-43,0
back,15,23,11,45,011-45,0.5
back,15,19,11,46,011-46,0.5
back,15,21,11,47,011-47,0.5
back,14,19,11,49,011-49,0.5
back,14,21,11,50,011-50,0.5
back,14,22,11,51,011-51,0.5
back,13,23,11,52,011-52,0
back,13,20,11,53,011-53,0
back,12,24,11,54,011-54,0.5
back,12,20,11,55,011-55,0.5
back,12,22,11,56,011-56,0.5
back,11,23,11,57,011-57,0.5
back,10,25,11,58,011-58,0
back,9,25,11,59,011-59,0.5
back,11,21,11,60,011-60,0.5
back,11,20,12,1,012-01,0.5
back,11,18,12,4,012-04,0.5
back,10,17,12,5,012-05,0
back,11,17,12,6,012-06,0.5
back,12,18,12,8,012-08,0.5
back,13,19,12,11,012-11,0
back,14,18,12,14,012-14,0.5
back,15,18,12,17,012-17,0.5
back,16,17,12,21,012-21,0
back,20,16,12,26,012-26,0
back,19,17,12,27,012-27,0
back,20,17,12,28,012-28,0
back,21,17,12,29,012-29,0.5
back,20,18,12,30,012-30,0
back,21,18,12,31,012-31,0.5
back,19,19,12,32,012-32,0
back,21,19,12,33,012-33,0.5
back,19,20,12,34,012-34,0
back,21,20,12,35,012-35,0.5
back,20,22,12,36,012-36,0
back,19,21,12,37,012-37,0
back,19,22,12,38,012-38,0
back,18,22,12,39,012-39,0.5
back,17,21,12,40,012-40,0
back,17,23,12,41,012-41,0
back,16,22,12,42,012-42,0
back,16,21,12,43,012-43,0
back,15,20,12,46,012-46,0.5
back,15,22,12,47,012-47,0.5
back,14,23,12,49,012-49,0.5
back,14,20,12,50,012-50,0.5
back,13,24,12,52,012-52,0
back,13,22,12,53,012-53,0
back,13,21,12,54,012-54,0
back,12,23,12,55,012-55,0.5
back,11,24,12,56,012-56,0.5
back,12,21,12,57,012-57,0.5
back,11,22,12,58,012-58,0.5
back,10,24,12,59,012-59,0
back,10,23,12,60,012-60,0
back,2,10,13,1,013-01,0.5
back,1,9,13,2,013-02,0
